([100.2,103.68], [82.29,83.27])
([82.29,83.27], [100.2,103.68])
([72.21,72.05], [94.04,91.23])
([94.04,91.23], [72.21,72.05])
([60.64,64.09], [41.46,40.68])
([41.46,40.68], [60.64,64.09])
([122.51,120.17], [91.52,94.97])
([91.52,94.97], [122.51,120.17])
([190.69,191.86], [162.71,160.36])
([162.71,160.36], [190.69,191.86])
([10.66,12.66], [44.45,43.87])
([44.45,43.87], [10.66,12.66])
([180.85,182.19], [133.68,132.4])
([133.68,132.4], [180.85,182.19])
([192.25,191.22], [131.99,132.59])
([131.99,132.59], [192.25,191.22])
([21.34,23.15], [83.33,81.05])
([83.33,81.05], [21.34,23.15])
([114.92,113.05], [181.37,180.17])
([181.37,180.17], [114.92,113.05])
([101.27,104.05], [174.28,170.47])
([174.28,170.47], [101.27,104.05])
([113.23,112.88], [4.48,2.91])
([4.48,2.91], [113.23,112.88])
([140.94,144.01], [30.25,32.5])
([30.25,32.5], [140.94,144.01])
([61.97,61.12], [170.59,174.71])
([170.59,174.71], [61.97,61.12])
([162.67,162.68], [31.37,34.32])
([31.37,34.32], [162.67,162.68])
([152.18,151.91], [3.64,0.4])
([3.64,0.4], [152.18,151.91])
([140.52,141.13], [140.52,141.13])
([151.58,154.32], [151.58,154.32])
([12.53,13.88], [12.53,13.88])
([122.95,121.47], [122.95,121.47])
([53.31,53.35], [53.31,53.35])
([74.63,71.79], [74.63,71.79])
([54.98,51.81], [54.98,51.81])
([21.22,21.28], [21.22,21.28])
